title,category,state,legend,exceptions,sources
State Actions and Projects,env_review,California,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Connecticut,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Georgia,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Hawaii,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Indiana,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Maryland,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Massachusetts,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Minnesota,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Missouri,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,New Jersey,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,New York,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,North Carolina,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,South Dakota,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Virginia,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Washington,In Place,,https://ballotpedia.org/State_environmental_policy_acts
State Actions and Projects,env_review,Wisconsin,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Local Actions and Projects,env_review,California,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Local Actions and Projects,env_review,Georgia,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Local Actions and Projects,env_review,Minnesota,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Local Actions and Projects,env_review,New York,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Local Actions and Projects,env_review,Washington,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Private Actions and Projects,env_review,California,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Private Actions and Projects,env_review,Minnesota,Exception,Minnesota requires an environmental review of private activities that involve specific agricultural projects,https://ballotpedia.org/State_environmental_policy_acts
Private Actions and Projects,env_review,New York,Exception,Applies only to private actions in New York that require a state permit or state funding,https://ballotpedia.org/State_environmental_policy_acts
Climate Change Check,env_review,California,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Climate Change Check,env_review,Massachusetts,In Place,,https://ballotpedia.org/State_environmental_policy_acts
Climate Action Plan,env_review,Washington,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Oregon,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,California,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Arizona,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Missouri,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,New Mexico,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Colorado,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Pennsylvania,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Michigan,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Iowa,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Illinois,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Arkansas,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Florida,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Kentucky,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,New Hampshire,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Vermont,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Massachusetts,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Connecticut,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Rhode Island,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Virginia,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,North Carolina,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,South Carolina,Released,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Nevada,Developing,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Minnesota,Updating,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Wisconsin,Updating,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,New York,Updating,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Maine,Updating,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,New Jersey,Updating,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Maryland,Updating,,https://www.c2es.org/content/state-climate-policy/
Climate Action Plan,env_review,Delaware,Updating,,https://www.c2es.org/content/state-climate-policy/
Beverage Container Deposit,recycling,California,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,Colorado,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,Hawaii,In Place,Hawaii has a defacto statewide ban,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,Iowa,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,Maine,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,Massachusetts,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,Michigan,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,New York,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,Oregon,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Beverage Container Deposit,recycling,Vermont,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/state-beverage-container-laws.aspx
Single-use Plastic Bags,recycling,California,Banned,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Colorado,Banned,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Delaware,Banned,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Hawaii,Banned,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Maine,Banned,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,New York,Banned,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Oregon,Banned,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Vermont,Banned,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Virginia,Fee,VA law allows localities to tax,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Idaho,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,North Dakota,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,South Dakota,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Minnesota,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Wisconsin,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Iowa,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Michigan,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Indiana,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Ohio,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Colorado,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Nebraska,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Missouri,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Arizona,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Oklahoma,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Texas,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Tennessee,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Mississippi,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Single-use Plastic Bags,recycling,Florida,Preemption,,https://www.ncsl.org/research/environment-and-natural-resources/plastic-bag-legislation.aspx
Littering Penalty,recycling,Alabama,In Place,,https://www.ncsl.org/research/environment-and-natural-resources/states-with-littering-penalties.aspx
